"Industry","2017","2018","2019","2020","2021","2022"
"Audio Streaming",0,0,0,0,11.44,0
"Automation",0,0,0,1.29,0,0
"Automotive",0,0,0,2.21,0,0
"Automotive Ecommerce",0,0,0,2.19,0,0
"Classifieds",0,1,0,0,0,0
"Cloud Storage",0,0,0,1.91,0,0
"Cybersecurity",0,0,0,3.2,0,0
"Delivery",0,0,0,2.89,0,0
"Ecommerce",0,2.3,12.64,67.71,832.61,22.26
"Education",0,0,0,1.31,0,0
"Entertainment",0,0,0,0,29.7,0
"Financial Services",0,3.45,10,0,44.63,0
"Hyperlocal Delivery",2,0,0,0,0,0
"Information Technology",0,0,2.66,2.71,0,0
"Internet",0,0,9.16,12.23,378.78,0
"Internet Real Estate",0,0,0,6.3,0,0
"Internet Telecommunication",0,0,0,2.65,0,0
"Lodging",0,0,0,3.38,0,0
"Online Dating",0,0,0,2.39,0,0
"Online Directory",0,0,2.23,0,0,0
"Online Food Ordering",0,0,0,1.82,0,0
"Online Gambling",0,0,6.42,0,0,0
"Online gaming",0,0,0,0,1.91,0
"Personalized Services",0,0,0,1.71,0,0
"Photography",0,2,0,0,0,0
"Real Estate",0,0,0,3.34,0,0
"Real estate technology",0,0,0,3.2,0,0
"Search engine",0,0,0,7.4,0,0
"Social Media",0,0,0,7.92,188.68,0
"Software",0,0,1.26,8.84,39.58,0
"Software as service",0,0,0,3.2,0,0
"Software freight forwarding",0,0,0,1.27,0,0
"Software gaming",0,0,0,0,1.2,0
"Telecommunication",0,0,0,1.76,0,0
"Transportation",0,1,0,2.36,17.46,0
"Transportation, Ecommerce",0,0,0,0,0,1.3
"Travel",0,2.55,0,16.13,0,0
"Video Games",0,0,5.4,1.97,0,0
"Web Hosting",0,0,0,3.32,0,0
"software as service",0,0,2,0,0,0
